market,identifier,fiscal_year,market_cap_usd,revenue_usd,operating_income_usd,net_income_usd,currency,source
KR,060590,2025,52920000,89113951.64952,4499662.25448,2333165.166,USD,OPEN_DART_FNLTT_SINGLE_ACCOUNT_ALL_CFS+NAVER_STOCK_MARKET_CAP
KR,060720,2025,182592000,305931024.35208,22861712.04408,14682196.62792,USD,OPEN_DART_FNLTT_SINGLE_ACCOUNT_ALL_CFS+NAVER_STOCK_MARKET_CAP
KR,060850,2025,29880000,57515841.54792,3037846.99248,4591225.3212,USD,OPEN_DART_FNLTT_SINGLE_ACCOUNT_ALL_CFS+NAVER_STOCK_MARKET_CAP
KR,060900,2025,12600000,9446558.41512,-6710300.2908,-13433477.43096,USD,OPEN_DART_FNLTT_SINGLE_ACCOUNT_ALL_CFS+NAVER_STOCK_MARKET_CAP
KR,060910,2025,,898560,18851.31792,5539.10976,USD,OPEN_DART_FNLTT_SINGLE_ACCOUNT_ALL_OFS
KR,060980,2025,256536000,961226008.55856,63856850.32728,15479621.18424,USD,OPEN_DART_FNLTT_SINGLE_ACCOUNT_ALL_CFS+NAVER_STOCK_MARKET_CAP
KR,061040,2025,50040000,191525507.6472,-18135084.40992,-21938889.94344,USD,OPEN_DART_FNLTT_SINGLE_ACCOUNT_ALL_CFS+NAVER_STOCK_MARKET_CAP
KR,061090,2025,119880000,129087505.35432,11728547.70624,12034335.58056,USD,OPEN_DART_FNLTT_SINGLE_ACCOUNT_ALL_CFS+NAVER_STOCK_MARKET_CAP
KR,061250,2025,48528000,72588552.11712,-1641385.46448,-167770.45872,USD,OPEN_DART_FNLTT_SINGLE_ACCOUNT_ALL_OFS+NAVER_STOCK_MARKET_CAP
KR,061970,2025,187128000,345442994.35992,-28656041.89968,-108630380.46456,USD,OPEN_DART_FNLTT_SINGLE_ACCOUNT_ALL_CFS+NAVER_STOCK_MARKET_CAP
KR,062040,2025,4860576000,361401279.0336,128616610.74696,107223678.2376,USD,OPEN_DART_FNLTT_SINGLE_ACCOUNT_ALL_CFS+NAVER_STOCK_MARKET_CAP
KR,062860,2025,,4594574.93616,-14337371.81376,-14706131.56272,USD,OPEN_DART_FNLTT_SINGLE_ACCOUNT_ALL_CFS
KR,062970,2025,58392000,2578132.9116,-2458856.0952,-9188570.0088,USD,OPEN_DART_FNLTT_SINGLE_ACCOUNT_ALL_OFS+NAVER_STOCK_MARKET_CAP
KR,063080,2025,58896000,71432408.9916,-4913019.37584,26824191.228,USD,OPEN_DART_FNLTT_SINGLE_ACCOUNT_ALL_CFS+NAVER_STOCK_MARKET_CAP
KR,063160,2025,54144000,115251110.54136,2595697.59456,-2079612.9324,USD,OPEN_DART_FNLTT_SINGLE_ACCOUNT_ALL_OFS+NAVER_STOCK_MARKET_CAP
KR,063170,2025,61632000,15360756.23016,-2846325.6216,-6317082.85608,USD,OPEN_DART_FNLTT_SINGLE_ACCOUNT_ALL_CFS+NAVER_STOCK_MARKET_CAP
